defense,dataset,attack,llm,utility_pct,asr_pct,n,utility_ci95_low,utility_ci95_high,asr_ci95_low,asr_ci95_high
minspan,agentdojo,default,qwen3-4b,78.37710084,0.1633986928,542,,,,
minspan,agentdyn,default,qwen3-4b,66.42592593,0.6851851852,560,,,,
minspan,dolly_ie,combined,qwen3-4b,92.5,3.5,200,88.50,96.00,1.00,6.00
minspan,dolly_ie,direct,qwen3-4b,95.5,8,200,92.50,98.00,4.50,12.00
minspan,dolly_ie,none,qwen3-4b,100,3,200,100.00,100.00,1.00,5.50
minspan,dolly_ie,strategy,qwen3-4b,41,93,200,34.50,48.00,89.50,96.50
minspan,dolly_qa,combined,qwen3-4b,98,3,200,96.00,99.50,1.00,5.50
minspan,dolly_qa,direct,qwen3-4b,96.5,9.5,200,94.00,99.00,5.50,14.00
minspan,dolly_qa,none,qwen3-4b,100,2.5,200,100.00,100.00,0.50,5.00
minspan,dolly_qa,strategy,qwen3-4b,31.5,97.5,200,25.50,38.00,95.00,99.50
minspan,dolly_summ,combined,qwen3-4b,97,0.5,200,94.50,99.00,0.00,1.50
minspan,dolly_summ,direct,qwen3-4b,97,16,200,94.50,99.00,11.00,21.00
minspan,dolly_summ,none,qwen3-4b,99.5,0.5,200,98.50,100.00,0.00,1.50
minspan,dolly_summ,strategy,qwen3-4b,27,97.5,200,21.00,33.00,95.00,99.50
minspan,govreport,combined,qwen3-4b,23.5942074,0,100,22.82,24.35,0.00,0.00
minspan,govreport,direct,qwen3-4b,23.11323454,17,100,22.04,24.09,10.00,25.00
minspan,govreport,none,qwen3-4b,23.51942886,0,100,22.68,24.36,0.00,0.00
minspan,hotpotqa_long,combined,qwen3-4b,54.18378312,0,100,45.76,62.62,0.00,0.00
minspan,hotpotqa_long,direct,qwen3-4b,54.29453862,0,100,45.77,62.68,0.00,0.00
minspan,hotpotqa_long,none,qwen3-4b,53.22361086,0,100,44.66,61.56,0.00,0.00
minspan,hotpotqa_long,strategy,qwen3-4b,0,100,1,0.00,0.00,100.00,100.00
minspan,hotpotqa_rag,combined,qwen3-4b,89,0,100,83.00,95.00,0.00,0.00
minspan,hotpotqa_rag,direct,qwen3-4b,94,1,100,89.00,98.00,0.00,3.00
minspan,hotpotqa_rag,none,qwen3-4b,95,0,100,90.00,99.00,0.00,0.00
minspan,hotpotqa_rag,strategy,qwen3-4b,44,62,100,34.00,54.00,52.00,71.00
minspan,injecagent,default,qwen3-4b,96.20493359,1.727541955,2108,,,,
minspan,lcc,combined,qwen3-4b,60.2,3,100,55.04,65.51,0.00,7.00
minspan,lcc,direct,qwen3-4b,61.62,3,100,56.54,66.86,0.00,7.00
minspan,lcc,none,qwen3-4b,63.17,1,100,58.13,68.26,0.00,3.00
minspan,msmarco_rag,combined,qwen3-4b,95,3,100,90.00,99.00,0.00,7.00
minspan,msmarco_rag,direct,qwen3-4b,95,5,100,90.00,99.00,1.00,10.00
minspan,msmarco_rag,none,qwen3-4b,97,0,100,93.00,100.00,0.00,0.00
minspan,msmarco_rag,strategy,qwen3-4b,51,73,100,41.00,61.00,64.00,81.00
minspan,multinews,combined,qwen3-4b,19.60909667,0,100,18.80,20.43,0.00,0.00
minspan,multinews,direct,qwen3-4b,19.42604827,16,100,18.59,20.28,9.00,23.00
minspan,multinews,none,qwen3-4b,19.60810236,0,100,18.78,20.43,0.00,0.00
minspan,nq_rag,combined,qwen3-4b,87,5,100,80.00,93.00,1.00,10.00
minspan,nq_rag,direct,qwen3-4b,91,3,100,85.00,96.00,0.00,7.00
minspan,nq_rag,knowledge_corruption,qwen3-4b,42,85,100,32.00,52.00,78.00,92.00
minspan,nq_rag,none,qwen3-4b,91,1,100,85.00,96.00,0.00,3.00
minspan,nq_rag,strategy,qwen3-4b,37,80,100,28.00,47.00,72.00,87.00
minspan,passage_retrieval,combined,qwen3-4b,99,1,100,97.00,100.00,0.00,3.00
minspan,passage_retrieval,direct,qwen3-4b,100,2,100,100.00,100.00,0.00,5.00
minspan,passage_retrieval,none,qwen3-4b,100,1,100,100.00,100.00,0.00,3.00
minspan,qasper,combined,qwen3-4b,29.00401683,0,100,23.21,35.07,0.00,0.00
minspan,qasper,direct,qwen3-4b,26.13360192,0,100,20.38,32.29,0.00,0.00
minspan,qasper,none,qwen3-4b,25.44474489,0,100,19.89,31.19,0.00,0.00
minspan,squad_v2,combined,qwen3-4b,98,0.5,200,96.00,99.50,0.00,1.50
minspan,squad_v2,direct,qwen3-4b,99.5,2,200,98.50,100.00,0.50,4.00
minspan,squad_v2,none,qwen3-4b,100,0,200,100.00,100.00,0.00,0.00
minspan,squad_v2,strategy,qwen3-4b,35,94,200,28.50,41.50,90.50,97.00
